train/entropy_coef,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/learning_rate,time/iterations,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/n_updates,train/policy_gradient_loss,train/std,train/loss,eval/mean_reward,eval/mean_ep_length
0.01995904,3258,0,2048,0.2,0.0003,1,,,,,,,,,,,
0.01991808,2035,2,4096,0.2,0.0003,2,0.014171023,0.14817458391189575,-8.528818139433861,0.11943359375,2.9999003015458583,10,-0.014615958023932762,1.0034104585647583,4.5707221031188965,,
0.01987712,1895,3,6144,0.2,0.0003,3,0.012753809,0.66566002368927,-8.56751146018505,0.1396484375,0.04345700762351044,20,-0.0206215015379712,1.0122625827789307,-0.1776932328939438,,
0.019836160000000002,1798,4,8192,0.2,0.0003,4,0.011616327,0.6048066020011902,-8.6285165309906,0.12958984375,0.021840569378400686,30,-0.02027974005031865,1.024960994720459,-0.1938183456659317,,
0.0197952,1745,5,10240,0.2,0.0003,5,0.007714455,0.8287281692028046,-8.677428832650184,0.073876953125,0.02655157413391862,40,-0.011047952028457075,1.0302588939666748,-0.1826993227005005,,
0.01975424,1664,7,12288,0.2,0.0003,6,0.011377216,0.7128525972366333,-8.712229681015014,0.122265625,0.019722496761824006,50,-0.017013383394805716,1.03838312625885,-0.2023683786392212,,
0.01971328,1610,8,14336,0.2,0.0003,7,0.013828673,0.5417567193508148,-8.745360258221627,0.127587890625,0.017574838845757768,60,-0.019025476710521617,1.041771411895752,-0.1770385056734085,,
0.01967232,1557,10,16384,0.2,0.0003,8,0.012121724,0.5294074714183807,-8.763781329989433,0.11513671875,0.01444022203068016,70,-0.01752198969188612,1.0445259809494019,-0.189397394657135,,
0.01963136,1561,11,18432,0.2,0.0003,9,0.009906089,0.8090318888425827,-8.78134106695652,0.1015625,0.015644189076556358,80,-0.016801883102743886,1.048682451248169,-0.2093268185853958,,
0.0195904,1553,13,20480,0.2,0.0003,10,0.01017492,0.5882902443408966,-8.799113821983337,0.11123046875,0.014239053010533098,90,-0.017196798097575083,1.0510077476501465,-0.1952049732208252,,
0.01954944,1562,14,22528,0.2,0.0003,11,0.014241731,0.7395449280738831,-8.835394775867462,0.1458984375,0.009522365058364813,100,-0.019721919209405313,1.0608552694320679,-0.18495307862758636,,
0.01950848,1569,15,24576,0.2,0.0003,12,0.010663727,0.747530460357666,-8.872746595740319,0.128173828125,0.012868879974121228,110,-0.018305858061648906,1.064859390258789,-0.1984676569700241,,
0.019467520000000002,1573,16,26624,0.2,0.0003,13,0.011599135,0.8782441318035126,-8.912583392858505,0.123291015625,0.011594762722961605,120,-0.019388087786501272,1.073991060256958,-0.20163090527057648,,
0.01942656,1576,18,28672,0.2,0.0003,14,0.009488801,0.6482355892658234,-8.927661189436913,0.105908203125,0.008376659507484873,130,-0.016250614696764386,1.0726511478424072,-0.22632552683353424,,
0.0193856,1581,19,30720,0.2,0.0003,15,0.012254164,0.6038354933261871,-8.907778856158256,0.14140625,0.005617972410982474,140,-0.020963584666606038,1.0685368776321411,-0.2040768563747406,,
0.01934464,1570,20,32768,0.2,0.0003,16,0.010046486,0.686298280954361,-8.920433112978936,0.114794921875,0.0064211879493086595,150,-0.017845374277385417,1.074705958366394,-0.1774192899465561,,
0.01930368,1562,22,34816,0.2,0.0003,17,0.0108830575,0.7746596783399582,-8.959069272875785,0.13095703125,0.008577138072723756,160,-0.01742509327159496,1.0812950134277344,-0.21974141895771027,,
0.01926272,1537,23,36864,0.2,0.0003,18,0.012039202,0.7636383175849915,-8.97565679848194,0.1189453125,0.006388446418714011,170,-0.019698804135259707,1.0820941925048828,-0.20262640714645386,,
0.01922176,1518,25,38912,0.2,0.0003,19,0.012466013,0.26433777809143066,-9.012038069963456,0.1396484375,0.006356507394957589,180,-0.021169872881728224,1.0920610427856445,-0.20387829840183258,,
0.01920016,,,40000,0.2,0.0003,,0.011447547,0.5625187456607819,-9.071770030260087,0.1263671875,0.007053159276983934,190,-0.02026249147602357,1.1030950546264648,-0.19967308640480042,-39.153005017805846,907.5
0.0191808,1221,33,40960,0.2,0.0003,20,,,,,,,,,,,
0.01913984,1232,34,43008,0.2,0.0003,21,0.010194318,0.5719693601131439,-9.091133481264114,0.109912109375,0.012772846737061628,200,-0.018552600539987908,1.10189950466156,-0.21012483537197113,,
0.01909888,1236,36,45056,0.2,0.0003,22,0.012351945,0.7376707792282104,-9.116602483391762,0.133447265625,0.006363840000994969,210,-0.02179255889786873,1.1108086109161377,-0.20718084275722504,,
0.01905792,1244,37,47104,0.2,0.0003,23,0.0123597365,0.5904271602630615,-9.180185601115227,0.13193359375,0.007260086033784319,220,-0.020789104333380236,1.1251461505889893,-0.18773919343948364,,
0.01901696,1255,39,49152,0.2,0.0003,24,0.010889916,0.5921663641929626,-9.239589339494705,0.111083984375,0.008109679075278108,230,-0.017827770035364666,1.1337560415267944,-0.18953853845596313,,
0.018976,1261,40,51200,0.2,0.0003,25,0.011873892,0.6786341667175293,-9.283903089165687,0.125146484375,0.015242461809248199,240,-0.016406778659438716,1.1421127319335938,-0.1871671974658966,,
0.01893504,1271,41,53248,0.2,0.0003,26,0.012061344,0.26847410202026367,-9.341520366072654,0.12685546875,0.005900101996667217,250,-0.021717756090220065,1.1552488803863525,-0.19578149914741516,,
0.01889408,1277,43,55296,0.2,0.0003,27,0.011361206,0.5618563294410706,-9.387217557430267,0.11513671875,0.0061373713164357465,260,-0.02044969969429076,1.1608290672302246,-0.21784858405590057,,
0.01885312,1286,44,57344,0.2,0.0003,28,0.011013001,0.49955201148986816,-9.427370208501817,0.1029296875,0.005616867920616641,270,-0.017103928909637033,1.1710509061813354,-0.20958934724330902,,
0.01881216,1292,45,59392,0.2,0.0003,29,0.011423847,0.6157678663730621,-9.47173896431923,0.117431640625,0.00679159383798833,280,-0.018538557659485377,1.176562786102295,-0.1982542872428894,,
0.018771200000000002,1300,47,61440,0.2,0.0003,30,0.010192759,0.6063650846481323,-9.509910216927528,0.112646484375,0.00606487153127091,290,-0.017120224979589694,1.186349868774414,-0.1949930191040039,,
0.018730240000000002,1307,48,63488,0.2,0.0003,31,0.013070455,0.5805223882198334,-9.554370358586311,0.15009765625,0.00574650353519246,300,-0.025026290261303076,1.1937456130981445,-0.20174719393253326,,
0.01868928,1313,49,65536,0.2,0.0003,32,0.0110447,0.6011042296886444,-9.595375841856002,0.14248046875,0.007058368106663692,310,-0.021382076034205964,1.2039210796356201,-0.22553780674934387,,
0.01864832,1316,51,67584,0.2,0.0003,33,0.011637438,0.531313419342041,-9.624365031719208,0.1326171875,0.019432849167787935,320,-0.01704177618958056,1.2063086032867432,-0.21962881088256836,,
0.01860736,1313,53,69632,0.2,0.0003,34,0.012981545,0.7299206852912903,-9.644624841213226,0.13544921875,0.006343519768415717,330,-0.02184409530746052,1.211215615272522,-0.20017839968204498,,
0.0185664,1314,54,71680,0.2,0.0003,35,0.012593087,0.5287633836269379,-9.672748592495918,0.143603515625,0.006841742763936054,340,-0.022406907560070976,1.2163589000701904,-0.21196380257606506,,
0.01852544,1316,55,73728,0.2,0.0003,36,0.011532031,0.3277686834335327,-9.683522817492484,0.124169921875,0.005351288515521446,350,-0.017536781888338737,1.2175567150115967,-0.20398013293743134,,
0.01848448,1311,57,75776,0.2,0.0003,37,0.013034922,0.573147714138031,-9.72188610136509,0.144287109375,0.010965958426822908,360,-0.02185428829106968,1.23030424118042,-0.2000369131565094,,
0.01844352,1314,59,77824,0.2,0.0003,38,0.00936039,0.7035202383995056,-9.758477529883384,0.103662109375,0.007300451111950679,370,-0.01804216741293203,1.233778953552246,-0.18695470690727234,,
0.018402560000000002,1320,60,79872,0.2,0.0003,39,0.013080312,0.6990317702293396,-9.779903540015221,0.140234375,0.006311393554642564,380,-0.02408067391370423,1.2387735843658447,-0.22447624802589417,,
